customer_id,region,customer_type,acquisition_channel,tenure_months,orders,discount_pct,returns,revenue
C000001,East,SMB,Social,3,2,13.4,0,5041.8
C000002,South,SMB,Partner,8,5,8.7,0,11299.93
C000003,West,Consumer,Organic,23,3,7.2,0,4540.92
C000004,East,Consumer,Organic,8,2,6.4,0,3303.0
C000005,North,Consumer,Referral,38,7,7.6,0,8129.65
C000006,West,Consumer,Paid Search,42,7,11.7,0,10810.71
C000007,East,Consumer,Referral,40,6,8.4,0,9290.24
C000008,West,Enterprise,Referral,4,1,5.2,0,7540.55
C000009,North,Consumer,Social,22,8,14.4,0,9025.06
C000010,South,Consumer,Organic,20,9,6.0,1,15046.31
C000011,South,SMB,Paid Search,39,11,16.6,1,38872.65
C000012,West,Consumer,Partner,5,5,6.2,0,11660.06
C000013,East,Consumer,Paid Search,20,4,9.3,1,4223.64
C000014,West,Consumer,Referral,5,2,7.9,0,3302.34
C000015,South,Enterprise,Organic,36,17,8.6,1,131973.67
C000016,South,Consumer,Organic,1,1,7.4,0,1219.08
C000017,South,Consumer,Paid Search,63,16,12.1,1,22145.27
C000018,North,SMB,Paid Search,27,6,15.7,0,14489.67
C000019,West,Consumer,Social,18,3,9.6,0,4345.87
C000020,East,SMB,Referral,11,2,10.0,0,5284.52
C000021,East,Consumer,Partner,41,1,7.1,0,1313.86
C000022,South,Consumer,Partner,5,3,9.9,0,5686.81
C000023,West,Consumer,Organic,1,3,8.0,0,6328.94
C000024,West,Enterprise,Organic,26,14,5.6,1,118317.99
C000025,East,Consumer,Partner,17,6,8.2,0,6738.65
C000026,North,Consumer,Paid Search,23,4,10.8,0,5142.74
C000027,South,Enterprise,Paid Search,21,17,17.1,1,125834.13
C000028,North,Consumer,Organic,29,4,6.0,0,5010.82
C000029,North,SMB,Referral,18,5,7.7,0,10259.17
C000030,East,SMB,Organic,13,3,9.5,0,5598.56
C000031,East,Consumer,Organic,19,4,3.5,0,5974.63
C000032,West,SMB,Referral,32,9,6.3,0,30862.05
C000033,South,SMB,Social,33,11,17.8,1,31844.78
C000034,South,Consumer,Organic,24,5,10.3,0,7050.55
C000035,South,Enterprise,Social,2,2,15.1,0,14350.8
C000036,North,Enterprise,Paid Search,22,5,13.2,0,28035.21
C000037,North,SMB,Paid Search,4,4,7.2,0,9775.62
C000038,South,Consumer,Paid Search,34,6,15.8,0,7200.55
C000039,South,Consumer,Organic,31,7,1.8,0,8547.65
C000040,East,Consumer,Paid Search,9,1,10.4,0,1263.43
C000041,South,Consumer,Partner,28,9,8.6,0,11708.32
C000042,West,Consumer,Organic,19,3,3.1,0,4615.75
C000043,East,Consumer,Partner,10,1,2.2,0,982.17
C000044,South,SMB,Organic,28,11,1.3,0,40295.81
C000045,West,Consumer,Paid Search,48,8,12.3,0,12040.83
C000046,West,Consumer,Referral,13,3,11.5,0,3773.57
C000047,South,Consumer,Social,24,8,19.2,0,14037.07
C000048,South,Consumer,Organic,8,1,6.1,0,1524.48
C000049,East,Enterprise,Organic,11,6,5.5,0,44569.22
C000050,North,SMB,Referral,19,4,9.4,0,7954.95
