month,region,customer_type,customers,orders,aov,revenue,conversion_rate,return_rate,retention_rate,discount_pct
2024-01-01,North,Consumer,616,1318,1463.04,1928283.95,7.95,2.55,78.74,9.26
2024-01-01,North,SMB,1506,3495,2297.68,8030396.63,6.52,5.38,83.94,9.13
2024-01-01,North,Enterprise,1023,2574,3983.46,10253421.66,7.5,3.54,84.2,8.9
2024-01-01,South,Consumer,1569,3693,1477.08,5454864.23,8.18,4.35,80.93,8.3
2024-01-01,South,SMB,973,2424,2592.65,6284590.41,7.54,6.64,80.98,7.98
2024-01-01,South,Enterprise,1106,2429,4790.75,11636730.53,8.1,4.39,79.9,7.35
2024-01-01,East,Consumer,1233,3188,1358.89,4332133.23,6.67,4.73,82.29,9.44
2024-01-01,East,SMB,1370,3586,2191.0,7856943.27,7.74,4.57,82.72,10.26
2024-01-01,East,Enterprise,1113,2582,3836.58,9906044.72,6.69,4.22,85.74,7.27
2024-01-01,West,Consumer,1416,3741,1321.57,4943996.69,6.93,4.66,83.47,10.42
2024-01-01,West,SMB,1533,3545,2348.01,8323678.52,7.89,4.31,78.81,6.73
2024-01-01,West,Enterprise,895,1942,4541.55,8819687.64,7.31,5.19,80.93,9.32
2024-02-01,North,Consumer,1815,4215,1438.37,6062725.84,6.67,4.14,81.05,6.61
2024-02-01,North,SMB,1379,3477,2235.22,7771868.55,7.21,4.98,83.12,10.33
2024-02-01,North,Enterprise,724,1660,4179.91,6938652.28,5.85,3.05,78.69,7.01
2024-02-01,South,Consumer,1006,2514,1456.33,3661223.01,6.9,5.8,81.11,10.48
2024-02-01,South,SMB,1543,3623,2385.79,8643705.04,6.93,5.34,77.68,9.87
2024-02-01,South,Enterprise,1097,2697,4455.3,12015948.5,6.04,4.57,80.68,9.47
2024-02-01,East,Consumer,911,2551,1297.1,3308903.32,6.38,4.68,82.55,11.72
2024-02-01,East,SMB,1330,3469,2208.29,7660569.51,8.37,3.31,80.4,7.15
2024-02-01,East,Enterprise,1807,3714,4098.45,15221660.22,7.02,3.03,79.46,9.63
2024-02-01,West,Consumer,1270,3314,1646.11,5455214.06,9.53,4.91,79.53,4.74
2024-02-01,West,SMB,1567,3442,2354.81,8105272.31,6.71,4.36,84.66,9.31
2024-02-01,West,Enterprise,857,2022,4135.97,8362923.29,5.86,4.01,81.87,12.54
2024-03-01,North,Consumer,1761,4659,1358.06,6327197.67,6.25,3.53,80.19,13.26
2024-03-01,North,SMB,1534,3366,2415.71,8131284.94,6.48,5.43,82.96,8.69
2024-03-01,North,Enterprise,1717,3839,4312.41,16555342.74,6.84,3.27,78.81,9.35
2024-03-01,South,Consumer,851,2378,1554.78,3697274.51,7.11,4.79,85.27,9.44
2024-03-01,South,SMB,958,2564,2595.09,6653798.52,8.43,4.68,78.94,6.26
2024-03-01,South,Enterprise,1392,3915,5097.8,19957887.54,7.06,4.12,85.65,6.79
2024-03-01,East,Consumer,884,2263,1284.84,2907597.4,7.2,4.34,82.84,11.81
2024-03-01,East,SMB,924,2238,2245.53,5025500.03,5.56,4.45,79.89,6.56
2024-03-01,East,Enterprise,1067,2471,4164.96,10291613.67,6.14,4.53,80.79,8.34
2024-03-01,West,Consumer,777,2059,1517.46,3124453.81,8.27,4.35,80.26,8.55
2024-03-01,West,SMB,1306,3192,2257.87,7207127.96,7.27,4.73,88.29,12.75
2024-03-01,West,Enterprise,1250,2733,4333.96,11844708.2,6.03,3.91,82.79,11.41
2024-04-01,North,Consumer,905,2023,1219.63,2467306.88,7.07,3.44,80.68,7.25
2024-04-01,North,SMB,1634,3883,2057.43,7989014.21,6.03,6.63,78.78,6.81
2024-04-01,North,Enterprise,1650,5158,3904.77,20140778.95,6.91,4.84,86.32,7.03
2024-04-01,South,Consumer,1617,3781,1611.83,6094314.08,7.55,4.12,81.67,6.25
2024-04-01,South,SMB,1245,2905,2565.24,7452032.05,6.76,4.97,84.53,9.31
2024-04-01,South,Enterprise,545,1355,4634.73,6280065.47,7.2,3.78,82.79,8.81
2024-04-01,East,Consumer,824,2301,1346.47,3098219.29,6.59,3.39,84.98,9.53
2024-04-01,East,SMB,853,2149,1935.69,4159802.77,7.94,4.95,79.22,8.06
2024-04-01,East,Enterprise,1298,3132,3878.79,12148371.81,7.12,4.25,82.38,11.94
2024-04-01,West,Consumer,1567,2755,1449.11,3992297.52,7.34,4.8,81.07,5.49
2024-04-01,West,SMB,739,2092,2192.74,4587219.37,7.89,4.17,81.85,6.89
2024-04-01,West,Enterprise,1078,2497,4753.99,11870717.52,7.67,6.23,84.94,9.88
2024-05-01,North,Consumer,1831,4595,1469.55,6752586.88,6.96,4.57,80.26,10.98
2024-05-01,North,SMB,1679,3535,2407.96,8512153.97,7.05,5.67,83.88,12.64
2024-05-01,North,Enterprise,1315,2639,4183.13,11039274.27,6.26,3.98,85.78,10.28
2024-05-01,South,Consumer,638,1419,1446.33,2052345.84,7.23,3.28,80.32,9.62
2024-05-01,South,SMB,700,1786,2182.18,3897377.5,7.44,4.57,83.03,12.23
2024-05-01,South,Enterprise,1293,2436,4456.15,10855171.97,7.67,2.92,85.69,9.74
2024-05-01,East,Consumer,1516,3422,1380.25,4723231.86,8.05,4.73,82.59,9.54
2024-05-01,East,SMB,1094,2389,2142.86,5119298.7,7.08,4.88,84.5,6.88
2024-05-01,East,Enterprise,1527,4230,3771.86,15954962.81,6.54,4.7,84.11,9.02
2024-05-01,West,Consumer,1045,2855,1545.57,4412600.15,7.87,5.05,87.82,8.59
2024-05-01,West,SMB,690,1932,2348.68,4537648.51,7.29,5.81,77.99,6.5
2024-05-01,West,Enterprise,689,1377,4199.87,5783223.11,7.55,5.02,82.69,6.17
2024-06-01,North,Consumer,1068,2577,1360.37,3505675.59,7.57,5.2,82.35,10.52
2024-06-01,North,SMB,1903,4676,2373.15,11096844.39,6.64,4.32,82.49,10.64
2024-06-01,North,Enterprise,549,1389,4133.01,5740748.98,7.11,5.33,77.02,6.41
