customer_id,experiment_group,aov,orders,tenure_months,customer_type,region,discount_pct,converted
C000001,Treatment,3102.15,11,30,Consumer,East,18.2,0
C000002,Control,1010.78,8,34,Consumer,West,6.1,0
C000003,Treatment,1818.58,4,6,Consumer,North,5.4,0
C000004,Treatment,2566.62,12,15,Consumer,South,17.1,0
C000005,Control,2094.99,4,15,Enterprise,East,13.2,0
C000006,Treatment,1409.19,7,25,SMB,South,5.4,0
C000007,Treatment,2582.75,6,23,Consumer,East,11.0,0
C000008,Treatment,1436.54,8,17,Consumer,East,11.6,0
C000009,Control,1672.88,7,25,Consumer,West,3.7,0
C000010,Control,917.46,1,10,Consumer,North,4.1,0
C000011,Control,1491.76,1,13,Consumer,South,13.3,0
C000012,Treatment,1054.56,9,22,Consumer,West,12.0,1
C000013,Treatment,769.43,3,3,SMB,South,3.9,0
C000014,Treatment,883.57,3,12,Consumer,South,8.5,0
C000015,Control,3906.88,1,3,SMB,North,12.3,0
C000016,Control,1750.0,11,20,Consumer,South,9.7,1
C000017,Treatment,1170.09,4,9,Consumer,South,7.6,0
C000018,Control,2718.76,5,10,Consumer,South,5.6,1
C000019,Treatment,2104.83,11,34,Consumer,East,11.3,0
C000020,Treatment,1800.03,9,29,Consumer,East,8.6,0
C000021,Treatment,3373.07,6,27,Consumer,West,8.5,0
C000022,Control,1007.83,4,16,SMB,West,9.5,1
C000023,Treatment,4034.09,7,17,Consumer,South,13.1,0
C000024,Treatment,1009.74,6,9,Consumer,North,0.1,0
C000025,Treatment,2831.1,10,28,Consumer,West,6.7,0
C000026,Control,813.86,2,12,Consumer,South,10.5,0
C000027,Control,2865.4,5,13,Enterprise,South,9.9,0
C000028,Control,2859.46,5,29,Consumer,North,17.8,0
C000029,Control,1543.92,3,7,Consumer,East,10.5,1
C000030,Treatment,1983.94,2,5,SMB,South,14.7,0
C000031,Treatment,4329.02,10,41,Consumer,North,12.8,0
C000032,Treatment,975.12,7,16,Consumer,South,14.1,0
C000033,Control,2021.67,3,21,SMB,West,8.1,0
C000034,Control,1112.82,8,3,SMB,South,4.0,0
C000035,Control,1539.15,7,10,SMB,East,17.8,0
C000036,Control,987.94,1,10,Consumer,South,9.4,1
C000037,Control,1884.1,11,43,Consumer,South,8.3,1
C000038,Control,1033.5,1,6,Consumer,South,4.3,0
