customer_id,tenure_months,orders_last_90_days,total_spend_last_90_days,avg_order_value,support_tickets_last_90_days,days_since_last_order
C00001,8.1,2,13643.56,2520.7,5,49.55
C00002,11.1,3,18474.04,1750.75,3,6.8
C00003,3.95,2,3476.07,1625.24,0,60.38
C00004,9.4,4,7473.4,1249.45,5,60.48
C00005,32.29,17,65786.01,3353.38,2,11.0
C00006,14.74,4,1403.6,1222.04,4,25.95
C00007,5.74,2,8550.57,1759.04,5,44.89
C00008,10.01,2,13204.08,1919.0,8,47.66
C00009,26.7,15,28134.62,2279.9,0,1.0
C00010,10.83,13,18800.04,2551.7,4,23.48
C00011,12.59,11,22279.21,1898.17,4,21.96
C00012,4.8,1,1460.63,1525.95,2,30.73
C00013,15.19,4,9045.48,2420.75,9,39.98
C00014,13.73,1,4358.33,1520.4,1,12.46
C00015,16.97,4,23352.85,2630.88,2,20.11
C00016,13.65,7,22485.23,2086.51,6,14.62
C00017,24.0,9,22581.0,1943.49,3,17.19
C00018,22.15,21,57852.24,3167.1,4,13.8
C00019,5.5,2,2189.32,1507.01,1,74.16
C00020,17.55,3,10484.05,931.75,2,66.94
C00021,15.42,3,4184.01,1790.71,10,67.36
C00022,19.02,8,17224.42,1354.78,3,23.92
C00023,1.0,1,1495.3,1210.39,2,7.48
C00024,9.46,3,2673.57,755.79,1,67.19
C00025,1.0,2,4550.0,2121.83,5,61.06
C00026,21.39,15,18086.76,2231.62,1,26.33
C00027,13.44,7,18899.88,1552.99,3,24.77
C00028,30.05,12,50885.72,3233.91,0,3.7
C00029,34.14,19,55707.74,3736.77,2,10.63
C00030,33.98,3,5505.29,1971.12,7,47.1
C00031,7.77,6,8317.11,1507.09,8,53.36
C00032,5.99,3,1320.55,1605.79,5,53.39
C00033,15.74,7,17153.47,2011.11,2,24.41
C00034,7.6,12,17291.41,2231.93,1,27.3
C00035,25.47,12,12183.6,2390.19,4,6.76
C00036,17.85,10,21502.34,2162.04,3,28.32
C00037,36.58,7,49143.05,2825.91,0,8.38
C00038,25.49,6,20513.8,1779.46,2,28.34
C00039,14.74,10,10579.52,2751.81,4,16.72
C00040,19.03,1,10456.33,1670.41,6,47.63
C00041,14.52,11,20151.58,2328.11,3,21.59
C00042,5.32,4,961.69,1878.28,4,29.66
C00043,30.6,4,9927.85,1811.21,6,51.86
C00044,20.34,13,19815.91,1780.99,4,24.45
C00045,9.62,3,2647.79,1221.3,1,15.56
C00046,7.95,2,2428.02,613.31,0,65.18
C00047,14.01,10,12741.92,2603.55,3,20.03
C00048,31.95,14,17620.45,1892.37,3,21.57
C00049,14.26,2,11167.95,1754.32,11,56.36
C00050,40.5,19,60666.65,2573.93,1,9.84
C00051,23.93,9,13211.23,1623.91,1,5.63
C00052,28.77,23,51879.26,1882.81,2,7.35
C00053,29.67,1,6523.31,2482.34,7,63.45
C00054,15.8,3,9444.02,1476.21,8,34.4
C00055,17.3,3,5959.27,1790.93,5,38.92
C00056,12.52,1,8306.99,1339.97,7,37.28
C00057,14.6,7,24963.16,2215.6,3,21.49
C00058,5.36,9,27988.81,2146.32,3,21.84
C00059,34.27,10,36859.06,2994.63,1,13.25
C00060,25.79,10,40587.87,1662.65,2,7.25
