date,promotion,holiday,stockout,demand
2025-01-01,0,0,0,184
2025-01-02,0,0,0,192
2025-01-03,0,0,0,222
2025-01-04,0,0,0,211
2025-01-05,1,0,0,199
2025-01-06,0,0,0,149
2025-01-07,0,0,0,173
2025-01-08,0,0,0,190
2025-01-09,0,0,0,216
2025-01-10,1,0,0,256
2025-01-11,0,0,0,216
2025-01-12,0,0,0,190
2025-01-13,0,0,0,165
2025-01-14,0,0,0,181
2025-01-15,0,0,0,193
2025-01-16,0,0,0,197
2025-01-17,0,0,0,215
2025-01-18,0,0,0,182
2025-01-19,0,0,0,177
2025-01-20,0,0,0,149
2025-01-21,0,0,0,152
2025-01-22,0,0,0,167
2025-01-23,0,0,0,211
2025-01-24,0,0,0,200
2025-01-25,1,0,0,228
2025-01-26,0,0,0,160
2025-01-27,0,0,0,157
2025-01-28,0,0,0,163
2025-01-29,0,0,0,187
2025-01-30,0,0,0,212
2025-01-31,0,0,0,241
2025-02-01,0,0,0,198
2025-02-02,0,0,0,175
2025-02-03,0,0,0,159
2025-02-04,0,0,0,184
2025-02-05,0,0,0,214
2025-02-06,0,0,0,222
2025-02-07,0,0,0,220
2025-02-08,0,0,0,206
2025-02-09,0,0,0,199
2025-02-10,0,0,0,185
2025-02-11,0,0,0,187
2025-02-12,0,0,0,193
2025-02-13,0,0,0,224
2025-02-14,0,0,0,226
2025-02-15,1,0,0,255
2025-02-16,0,0,0,191
2025-02-17,0,0,0,166
2025-02-18,0,0,0,175
2025-02-19,0,0,0,188
2025-02-20,0,0,0,211
2025-02-21,0,0,0,220
2025-02-22,0,0,0,179
2025-02-23,0,0,0,168
2025-02-24,0,0,0,151
2025-02-25,0,0,0,156
2025-02-26,0,0,0,183
2025-02-27,0,0,0,228
2025-02-28,0,0,0,207
2025-03-01,0,0,0,217
2025-03-02,0,0,0,163
2025-03-03,0,0,0,167
2025-03-04,0,0,0,181
2025-03-05,0,0,0,211
2025-03-06,0,0,0,237
2025-03-07,0,0,0,245
2025-03-08,0,0,0,218
2025-03-09,0,0,0,194
2025-03-10,0,0,0,195
2025-03-11,0,0,0,188
2025-03-12,0,0,0,197
2025-03-13,0,0,0,220
2025-03-14,0,0,0,227
2025-03-15,1,0,0,272
2025-03-16,0,0,0,197
2025-03-17,0,0,0,187
2025-03-18,0,0,0,176
2025-03-19,0,0,0,203
2025-03-20,0,0,0,229
2025-03-21,0,0,1,171
2025-03-22,0,0,0,213
2025-03-23,0,0,0,174
2025-03-24,0,0,0,162
2025-03-25,0,0,0,167
2025-03-26,0,0,0,179
2025-03-27,0,0,0,222
2025-03-28,0,0,0,217
2025-03-29,0,0,0,209
2025-03-30,1,0,0,237
2025-03-31,0,0,0,179
2025-04-01,0,0,0,189
2025-04-02,0,0,0,205
2025-04-03,0,0,0,226
2025-04-04,0,0,0,238
2025-04-05,1,0,0,251
2025-04-06,0,0,1,147
2025-04-07,0,0,0,175
2025-04-08,0,0,0,186
2025-04-09,0,0,0,226
2025-04-10,0,0,0,233
2025-04-11,0,0,0,245
2025-04-12,0,0,0,249
2025-04-13,0,0,0,204
2025-04-14,0,0,0,201
2025-04-15,0,0,0,185
2025-04-16,0,0,0,213
2025-04-17,0,0,0,224
2025-04-18,0,0,0,235
2025-04-19,0,0,0,232
2025-04-20,1,0,0,219
2025-04-21,0,0,0,183
2025-04-22,0,0,0,185
2025-04-23,0,0,0,196
2025-04-24,0,0,0,207
2025-04-25,1,0,0,275
2025-04-26,0,0,0,208
2025-04-27,0,0,0,194
2025-04-28,0,0,0,178
2025-04-29,0,0,0,204
2025-04-30,0,0,0,206
2025-05-01,0,0,0,221
2025-05-02,0,0,0,243
2025-05-03,0,0,0,231
2025-05-04,0,0,0,224
2025-05-05,0,0,0,205
2025-05-06,0,0,0,207
2025-05-07,0,0,0,244
2025-05-08,0,0,0,236
2025-05-09,0,0,0,249
2025-05-10,1,0,0,277
2025-05-11,0,0,0,214
2025-05-12,0,0,0,187
2025-05-13,0,0,0,216
2025-05-14,0,0,0,226
2025-05-15,0,0,0,232
2025-05-16,0,0,0,241
2025-05-17,0,0,0,240
2025-05-18,0,0,0,220
2025-05-19,0,0,0,216
2025-05-20,0,0,0,231
2025-05-21,0,0,0,221
2025-05-22,0,0,0,224
2025-05-23,0,0,0,214
2025-05-24,0,0,0,227
2025-05-25,1,0,0,234
2025-05-26,0,0,0,179
2025-05-27,0,0,0,183
2025-05-28,0,0,0,212
2025-05-29,0,0,0,249
2025-05-30,1,0,0,291
2025-05-31,0,0,1,153
2025-06-01,0,0,0,197
2025-06-02,0,0,0,177
2025-06-03,0,0,0,199
2025-06-04,0,0,0,229
2025-06-05,0,0,1,175
2025-06-06,0,0,0,264
2025-06-07,0,0,0,261
2025-06-08,0,0,0,220
2025-06-09,0,0,0,198
2025-06-10,0,0,0,207
2025-06-11,0,0,0,231
2025-06-12,0,0,0,287
2025-06-13,0,0,0,256
2025-06-14,0,0,0,260
2025-06-15,1,0,0,258
2025-06-16,0,0,0,218
2025-06-17,0,0,0,215
2025-06-18,0,0,0,228
2025-06-19,0,0,0,249
2025-06-20,1,0,0,290
2025-06-21,0,0,0,241
2025-06-22,0,0,0,205
2025-06-23,0,0,0,179
2025-06-24,0,0,0,183
2025-06-25,0,0,0,223
2025-06-26,0,0,0,262
2025-06-27,0,0,0,251
2025-06-28,0,0,0,234
2025-06-29,0,0,0,216
2025-06-30,0,0,0,215
2025-07-01,0,0,0,210
2025-07-02,0,0,0,227
2025-07-03,0,0,0,270
2025-07-04,0,0,0,270
2025-07-05,1,0,0,316
2025-07-06,0,0,0,233
2025-07-07,0,0,0,203
2025-07-08,0,0,0,208
2025-07-09,0,0,0,268
2025-07-10,0,0,0,291
2025-07-11,0,0,0,274
2025-07-12,0,0,0,257
2025-07-13,0,0,0,254
2025-07-14,0,0,0,207
2025-07-15,0,0,0,213
2025-07-16,0,0,0,252
2025-07-17,0,0,0,259
2025-07-18,0,0,0,267
2025-07-19,0,0,0,248
2025-07-20,1,0,0,273
2025-07-21,0,0,0,223
2025-07-22,0,0,0,211
2025-07-23,0,0,0,239
2025-07-24,0,0,0,227
2025-07-25,1,0,0,301
2025-07-26,0,0,0,232
2025-07-27,0,0,1,132
2025-07-28,0,0,0,194
2025-07-29,0,0,0,207
2025-07-30,0,0,1,160
2025-07-31,0,0,0,243
2025-08-01,0,0,0,268
2025-08-02,0,0,0,249
2025-08-03,0,0,0,229
2025-08-04,0,0,0,233
2025-08-05,0,0,0,235
2025-08-06,0,0,0,269
2025-08-07,0,0,0,275
2025-08-08,0,0,0,276
2025-08-09,0,0,0,267
2025-08-10,1,0,0,294
2025-08-11,0,0,0,233
2025-08-12,0,0,0,223
2025-08-13,0,0,0,258
2025-08-14,0,0,0,281
2025-08-15,1,0,0,357
2025-08-16,0,0,0,287
2025-08-17,0,0,0,228
2025-08-18,0,0,0,217
2025-08-19,0,0,0,206
2025-08-20,0,0,0,237
2025-08-21,0,0,0,268
2025-08-22,0,0,0,282
2025-08-23,0,0,0,243
2025-08-24,0,0,0,219
2025-08-25,0,0,0,186
2025-08-26,0,0,0,215
2025-08-27,0,0,0,227
2025-08-28,0,0,0,257
2025-08-29,0,0,0,260
2025-08-30,1,0,0,301
2025-08-31,0,0,0,215
2025-09-01,0,0,1,154
2025-09-02,0,0,0,257
2025-09-03,0,0,0,241
2025-09-04,0,0,0,267
2025-09-05,1,0,0,355
2025-09-06,0,0,0,310
2025-09-07,0,0,0,239
2025-09-08,0,0,0,235
2025-09-09,0,0,0,249
2025-09-10,0,0,0,288
2025-09-11,0,0,0,277
2025-09-12,0,0,0,291
2025-09-13,0,0,0,287
2025-09-14,0,0,0,257
2025-09-15,0,0,0,231
2025-09-16,0,0,0,237
2025-09-17,0,0,0,242
2025-09-18,0,0,0,275
2025-09-19,0,0,0,278
2025-09-20,1,0,0,312
2025-09-21,0,0,0,232
2025-09-22,0,0,0,228
2025-09-23,0,0,0,239
2025-09-24,0,0,0,250
2025-09-25,0,0,0,274
2025-09-26,0,0,0,277
2025-09-27,0,0,0,262
2025-09-28,0,0,0,231
2025-09-29,0,0,0,230
2025-09-30,0,0,0,233
2025-10-01,0,0,0,283
2025-10-02,0,0,0,302
2025-10-03,0,0,0,296
2025-10-04,0,0,0,269
2025-10-05,1,0,0,289
2025-10-06,0,0,0,258
2025-10-07,0,0,0,255
2025-10-08,0,0,0,281
2025-10-09,0,0,0,277
2025-10-10,1,0,0,360
2025-10-11,0,0,0,294
2025-10-12,0,0,0,251
2025-10-13,0,0,0,242
2025-10-14,0,0,0,255
2025-10-15,0,0,0,273
2025-10-16,0,0,0,289
2025-10-17,0,0,0,295
2025-10-18,0,0,0,276
2025-10-19,0,0,0,254
2025-10-20,0,0,0,253
2025-10-21,0,0,0,208
2025-10-22,0,0,0,256
2025-10-23,0,0,0,282
2025-10-24,0,0,0,288
2025-10-25,1,0,0,310
2025-10-26,0,0,0,224
2025-10-27,0,0,0,235
2025-10-28,0,0,0,259
2025-10-29,0,0,1,136
2025-10-30,0,0,0,296
2025-10-31,0,0,0,289
2025-11-01,0,0,1,166
2025-11-02,0,0,0,247
2025-11-03,0,0,0,243
2025-11-04,0,0,0,271
2025-11-05,0,0,0,286
2025-11-06,0,0,0,324
2025-11-07,0,0,0,325
2025-11-08,0,0,0,302
2025-11-09,0,0,0,294
2025-11-10,0,0,0,264
2025-11-11,0,0,0,274
2025-11-12,0,0,0,282
2025-11-13,0,0,0,307
2025-11-14,0,0,0,301
2025-11-15,1,0,0,350
2025-11-16,0,0,0,252
2025-11-17,0,0,0,259
2025-11-18,0,0,0,250
2025-11-19,0,0,0,286
2025-11-20,0,1,0,331
2025-11-21,0,1,0,348
2025-11-22,0,1,0,318
2025-11-23,0,1,1,201
2025-11-24,0,1,0,268
2025-11-25,0,1,1,208
2025-11-26,0,1,0,291
2025-11-27,0,1,0,338
2025-11-28,0,1,0,335
2025-11-29,0,1,0,305
2025-11-30,1,1,0,325
2025-12-01,0,1,0,280
2025-12-02,0,1,1,210
2025-12-03,0,1,0,304
2025-12-04,0,1,0,340
2025-12-05,1,1,0,403
2025-12-06,0,1,0,339
2025-12-07,0,1,0,282
2025-12-08,0,1,0,300
2025-12-09,0,1,0,303
2025-12-10,0,1,0,330
2025-12-11,0,1,0,366
2025-12-12,0,1,0,327
2025-12-13,0,1,0,329
2025-12-14,0,1,0,317
2025-12-15,0,1,0,275
2025-12-16,0,1,0,315
2025-12-17,0,1,0,321
2025-12-18,0,1,0,347
2025-12-19,0,1,0,333
2025-12-20,1,1,0,377
2025-12-21,0,1,0,309
2025-12-22,0,1,1,175
2025-12-23,0,1,0,287
2025-12-24,0,1,1,194
2025-12-25,0,1,0,317
2025-12-26,0,1,0,331
2025-12-27,0,1,0,317
2025-12-28,0,1,0,300
2025-12-29,0,1,0,294
2025-12-30,0,1,0,277
2025-12-31,0,1,0,313
2026-01-01,0,0,0,327
2026-01-02,0,0,0,308
2026-01-03,0,0,0,295
2026-01-04,0,0,0,285
2026-01-05,0,0,0,280
2026-01-06,0,0,0,278
