date,demand,baseline,model_forecast
2025-12-08,300,280.0,267.73720172420195
2025-12-09,303,210.0,244.8777876382876
2025-12-10,330,304.0,313.6915432900433
2025-12-11,366,340.0,337.887399008399
2025-12-12,327,403.0,337.6510762570762
2025-12-13,329,339.0,329.5300784215782
2025-12-14,317,282.0,307.34606327006327
2025-12-15,275,300.0,290.02901719576744
2025-12-16,315,303.0,268.46625757575765
2025-12-17,321,330.0,322.2922015392014
2025-12-18,347,366.0,337.32447572797565
2025-12-19,333,327.0,337.2908249343249
2025-12-20,377,329.0,352.7905805860808
2025-12-21,309,317.0,266.55405531505534
2025-12-22,175,275.0,297.24558363858387
2025-12-23,287,315.0,261.34610294335306
2025-12-24,194,321.0,326.8100322455322
2025-12-25,317,347.0,320.73956086506075
2025-12-26,331,333.0,338.8227072094573
2025-12-27,317,377.0,339.5696066803568
2025-12-28,300,309.0,334.6694368871869
2025-12-29,294,175.0,255.30650781625775
2025-12-30,277,287.0,270.64303294853295
2025-12-31,313,194.0,280.33997981647974
2026-01-01,327,317.0,304.9334296721796
2026-01-02,308,331.0,306.8878886668887
2026-01-03,295,317.0,303.9633966033965
2026-01-04,285,300.0,290.32506423206405
2026-01-05,280,294.0,265.4284615014615
2026-01-06,278,277.0,280.25338009213016
2026-01-07,192,313.0,271.1354599937099
2026-01-08,233,327.0,286.4450138842638
2026-01-09,341,308.0,286.3009163614163
2026-01-10,368,295.0,332.05395179820187
2026-01-11,320,285.0,291.26274170274155
2026-01-12,274,280.0,283.5032893217893
2026-01-13,256,278.0,273.57178250453273
2026-01-14,320,192.0,248.22719915269928
2026-01-15,315,233.0,270.69083359233355
2026-01-16,326,341.0,301.2617717837716
2026-01-17,323,368.0,295.8678720538719
2026-01-18,261,320.0,291.56614189514175
2026-01-19,248,274.0,254.86690043290034
2026-01-20,248,256.0,238.2008751803752
2026-01-21,278,320.0,229.0230633348135
2026-01-22,193,315.0,270.62482507307504
2026-01-23,319,326.0,286.9314762459762
2026-01-24,300,323.0,303.16242967217954
2026-01-25,301,261.0,325.73229835904857
2026-01-26,230,248.0,249.4084652477153
2026-01-27,265,248.0,229.0590001202501
2026-01-28,282,278.0,281.2707542642544
2026-01-29,317,193.0,258.0216101676102
2026-01-30,373,319.0,337.58559778184804
2026-01-31,309,300.0,304.7544428996927
2026-02-01,295,301.0,281.53384030784025
2026-02-02,276,230.0,237.5548828763828
2026-02-03,288,265.0,257.55458453583446
2026-02-04,297,282.0,259.6241434583934
2026-02-05,328,317.0,241.28109728234728
2026-02-06,191,373.0,305.18772284197274
2026-02-07,333,309.0,282.1570975228475
2026-02-08,296,295.0,291.56961075036065
2026-02-09,292,276.0,261.0337644115145
2026-02-10,288,288.0,261.8507514245015
2026-02-11,312,297.0,286.6550029230028
2026-02-12,344,328.0,302.4143114663114
2026-02-13,314,191.0,271.9872383542383
2026-02-14,306,333.0,300.1467704610203
2026-02-15,322,296.0,313.7027741702743
2026-02-16,250,292.0,269.7361067821067
2026-02-17,273,288.0,262.6959673937174
2026-02-18,310,312.0,284.4686811336811
2026-02-19,317,344.0,261.290920995671
2026-02-20,372,314.0,326.99181938431974
2026-02-21,321,306.0,305.95346803196793
2026-02-22,298,322.0,293.9092414622413
2026-02-23,266,250.0,233.84004566699556
2026-02-24,288,273.0,266.8969991952493
