sku,category,forecast_demand,current_inventory,safety_stock_pct,unit_cost,moq,max_order,budget,warehouse_capacity
SKU-1001,Electronics,1551,779,0.15,126,50,1601,35543,2487
SKU-1002,Grocery,948,753,0.1,49,200,1998,83549,2250
SKU-1003,Home,1025,285,0.15,177,200,1271,70222,858
SKU-1004,Home,824,586,0.1,129,50,2127,74430,1197
SKU-1005,Home,532,190,0.2,95,200,1744,69576,2196
SKU-1006,Grocery,1686,694,0.2,72,50,1580,68750,899
SKU-1007,Electronics,1461,645,0.2,149,25,1659,36339,2254
SKU-1008,Grocery,1247,351,0.2,174,100,1766,69144,1278
SKU-1009,Electronics,873,107,0.15,236,100,863,85643,2360
SKU-1010,Electronics,1525,875,0.2,120,25,1037,51276,1299
SKU-1011,Home,1095,428,0.15,56,200,1217,72198,1538
SKU-1012,Grocery,937,809,0.1,211,25,994,32157,1925
SKU-1013,Grocery,948,626,0.2,164,200,1547,54324,1014
SKU-1014,Grocery,602,711,0.15,181,25,1936,60570,1746
SKU-1015,Grocery,392,695,0.1,42,200,1912,98791,1658
SKU-1016,Grocery,1109,215,0.15,91,200,1600,45020,2132
SKU-1017,Home,1626,359,0.2,196,200,2253,49358,2493
SKU-1018,Electronics,348,446,0.1,211,100,1760,58597,1929
