sku,category,forecast_demand,current_inventory,safety_stock_pct,unit_cost,moq,max_order,budget,warehouse_capacity,scenario_demand,safety_stock,target_inventory,raw_order,budget_limit_units,warehouse_limit_units,max_feasible_order,recommended_order,estimated_cost,post_order_inventory,scenario
SKU-1001,Electronics,1551,779,0.15,126,50,1601,35543,2487,1551.0,232.64999999999998,1783.65,1004.6500000000001,282.0,1708.0,282.0,250.0,31500.0,1029.0,base
SKU-1002,Grocery,948,753,0.1,49,200,1998,83549,2250,948.0,94.80000000000001,1042.8,289.79999999999995,1705.0,1497.0,1497.0,400.0,19600.0,1153.0,base
SKU-1003,Home,1025,285,0.15,177,200,1271,70222,858,1025.0,153.75,1178.75,893.75,396.0,573.0,396.0,200.0,35400.0,485.0,base
SKU-1004,Home,824,586,0.1,129,50,2127,74430,1197,824.0,82.4,906.4,320.4,576.0,611.0,576.0,350.0,45150.0,936.0,base
SKU-1005,Home,532,190,0.2,95,200,1744,69576,2196,532.0,106.4,638.4,448.4,732.0,2006.0,732.0,600.0,57000.0,790.0,base
SKU-1006,Grocery,1686,694,0.2,72,50,1580,68750,899,1686.0,337.20000000000005,2023.2,1329.2,954.0,205.0,205.0,200.0,14400.0,894.0,base
SKU-1007,Electronics,1461,645,0.2,149,25,1659,36339,2254,1461.0,292.2,1753.2,1108.2,243.0,1609.0,243.0,225.0,33525.0,870.0,base
SKU-1008,Grocery,1247,351,0.2,174,100,1766,69144,1278,1247.0,249.4,1496.4,1145.4,397.0,927.0,397.0,300.0,52200.0,651.0,base
SKU-1009,Electronics,873,107,0.15,236,100,863,85643,2360,873.0,130.95,1003.95,896.95,362.0,2253.0,362.0,300.0,70800.0,407.0,base
SKU-1010,Electronics,1525,875,0.2,120,25,1037,51276,1299,1525.0,305.0,1830.0,955.0,427.0,424.0,424.0,400.0,48000.0,1275.0,base
SKU-1011,Home,1095,428,0.15,56,200,1217,72198,1538,1095.0,164.25,1259.25,831.25,1289.0,1110.0,1110.0,1000.0,56000.0,1428.0,base
SKU-1012,Grocery,937,809,0.1,211,25,994,32157,1925,937.0,93.7,1030.7,221.70000000000005,152.0,1116.0,152.0,150.0,31650.0,959.0,base
SKU-1013,Grocery,948,626,0.2,164,200,1547,54324,1014,948.0,189.60000000000002,1137.6,511.5999999999999,331.0,388.0,331.0,200.0,32800.0,826.0,base
SKU-1014,Grocery,602,711,0.15,181,25,1936,60570,1746,602.0,90.3,692.3,0.0,334.0,1035.0,334.0,0.0,0.0,711.0,base
SKU-1015,Grocery,392,695,0.1,42,200,1912,98791,1658,392.0,39.2,431.2,0.0,2352.0,963.0,963.0,0.0,0.0,695.0,base
SKU-1016,Grocery,1109,215,0.15,91,200,1600,45020,2132,1109.0,166.35,1275.35,1060.35,494.0,1917.0,494.0,400.0,36400.0,615.0,base
SKU-1017,Home,1626,359,0.2,196,200,2253,49358,2493,1626.0,325.20000000000005,1951.2,1592.2,251.0,2134.0,251.0,200.0,39200.0,559.0,base
SKU-1018,Electronics,348,446,0.1,211,100,1760,58597,1929,348.0,34.800000000000004,382.8,0.0,277.0,1483.0,277.0,0.0,0.0,446.0,base
