sku,scenario,demand_multiplier,forecast_demand,recommended_order,estimated_cost
SKU-1001,low,0.8,1240.8000000000002,250.0,31500.0
SKU-1002,low,0.8,758.4000000000001,0.0,0.0
SKU-1003,low,0.8,820.0,200.0,35400.0
SKU-1004,low,0.8,659.2,150.0,19350.0
SKU-1005,low,0.8,425.6,400.0,38000.0
SKU-1006,low,0.8,1348.8000000000002,200.0,14400.0
SKU-1007,low,0.8,1168.8,225.0,33525.0
SKU-1008,low,0.8,997.6,300.0,52200.0
SKU-1009,low,0.8,698.4000000000001,300.0,70800.0
SKU-1010,low,0.8,1220.0,400.0,48000.0
SKU-1011,low,0.8,876.0,600.0,33600.0
SKU-1012,low,0.8,749.6,0.0,0.0
SKU-1013,low,0.8,758.4000000000001,200.0,32800.0
SKU-1014,low,0.8,481.6,0.0,0.0
SKU-1015,low,0.8,313.6,0.0,0.0
SKU-1016,low,0.8,887.2,400.0,36400.0
SKU-1017,low,0.8,1300.8000000000002,200.0,39200.0
SKU-1018,low,0.8,278.40000000000003,0.0,0.0
SKU-1001,base,1.0,1551.0,250.0,31500.0
SKU-1002,base,1.0,948.0,400.0,19600.0
SKU-1003,base,1.0,1025.0,200.0,35400.0
SKU-1004,base,1.0,824.0,350.0,45150.0
SKU-1005,base,1.0,532.0,600.0,57000.0
SKU-1006,base,1.0,1686.0,200.0,14400.0
SKU-1007,base,1.0,1461.0,225.0,33525.0
SKU-1008,base,1.0,1247.0,300.0,52200.0
SKU-1009,base,1.0,873.0,300.0,70800.0
SKU-1010,base,1.0,1525.0,400.0,48000.0
SKU-1011,base,1.0,1095.0,1000.0,56000.0
SKU-1012,base,1.0,937.0,150.0,31650.0
SKU-1013,base,1.0,948.0,200.0,32800.0
SKU-1014,base,1.0,602.0,0.0,0.0
SKU-1015,base,1.0,392.0,0.0,0.0
SKU-1016,base,1.0,1109.0,400.0,36400.0
SKU-1017,base,1.0,1626.0,200.0,39200.0
SKU-1018,base,1.0,348.0,0.0,0.0
SKU-1001,high,1.2,1861.1999999999998,250.0,31500.0
SKU-1002,high,1.2,1137.6,600.0,29400.0
SKU-1003,high,1.2,1230.0,200.0,35400.0
SKU-1004,high,1.2,988.8,550.0,70950.0
SKU-1005,high,1.2,638.4,600.0,57000.0
SKU-1006,high,1.2,2023.1999999999998,200.0,14400.0
SKU-1007,high,1.2,1753.2,225.0,33525.0
SKU-1008,high,1.2,1496.3999999999999,300.0,52200.0
SKU-1009,high,1.2,1047.6,300.0,70800.0
SKU-1010,high,1.2,1830.0,400.0,48000.0
SKU-1011,high,1.2,1314.0,1000.0,56000.0
SKU-1012,high,1.2,1124.3999999999999,150.0,31650.0
SKU-1013,high,1.2,1137.6,200.0,32800.0
SKU-1014,high,1.2,722.4,125.0,22625.0
SKU-1015,high,1.2,470.4,0.0,0.0
SKU-1016,high,1.2,1330.8,400.0,36400.0
SKU-1017,high,1.2,1951.1999999999998,200.0,39200.0
SKU-1018,high,1.2,417.59999999999997,0.0,0.0
