sku,original_unit_cost,what_if_unit_cost,recommended_order,estimated_cost,budget_limit_units
SKU-1001,126,144.89999999999998,200.0,28979.999999999996,245.0
SKU-1002,49,56.349999999999994,400.0,22539.999999999996,1482.0
SKU-1003,177,203.54999999999998,200.0,40710.0,344.0
SKU-1004,129,148.35,350.0,51922.5,501.0
SKU-1005,95,109.24999999999999,600.0,65549.99999999999,636.0
SKU-1006,72,82.8,200.0,16560.0,830.0
SKU-1007,149,171.35,200.0,34270.0,212.0
SKU-1008,174,200.1,300.0,60030.0,345.0
SKU-1009,236,271.4,300.0,81420.0,315.0
SKU-1010,120,138.0,350.0,48300.0,371.0
SKU-1011,56,64.39999999999999,1000.0,64399.99999999999,1121.0
SKU-1012,211,242.64999999999998,125.0,30331.249999999996,132.0
SKU-1013,164,188.6,200.0,37720.0,288.0
SKU-1014,181,208.14999999999998,0.0,0.0,290.0
SKU-1015,42,48.3,0.0,0.0,2045.0
SKU-1016,91,104.64999999999999,400.0,41860.0,430.0
SKU-1017,196,225.39999999999998,200.0,45079.99999999999,218.0
SKU-1018,211,242.64999999999998,0.0,0.0,241.0
