age,tenure_months,orders_last_6m,monthly_spend,support_tickets,late_payments,discount_pct,churn
23,37,6,2420.431483467072,1,0,12.288095447707295,0
62,33,8,6184.558268055094,3,0,9.375642783223952,0
55,6,7,3989.0870288085366,4,0,21.50822295295515,0
43,9,10,581.6440071358124,3,1,12.28937290955534,0
42,43,8,4255.694887438767,0,0,10.22156562179688,0
66,41,8,978.6996288082923,2,0,12.027987611473291,0
22,40,11,4206.197841338122,1,2,22.448961716944623,0
57,12,7,5896.382522703581,2,0,6.215560271308474,0
29,37,9,3787.570715730846,3,0,13.271595025098502,0
23,5,8,7371.269243988878,1,0,8.943050303519804,0
48,11,8,1000.8955385847789,1,0,16.675059754941227,0
73,36,8,5035.732940525656,0,1,1.6945270643934371,0
59,44,8,2957.3823719098295,0,1,15.10998590493734,0
61,47,9,1564.4084219690699,4,1,8.480554536257511,0
58,70,14,6268.123657527788,1,0,20.461703150561696,0
62,61,6,3084.498343392044,0,0,16.580550331758683,0
47,27,9,3517.1239242598003,3,1,4.768716704466286,0
25,56,5,3435.6085278652313,2,0,18.397758379458026,0
65,7,12,8115.8076679620635,1,0,4.159968326764515,0
43,61,7,4760.2377492016485,3,0,17.081173566259906,0
46,28,4,5615.025198809896,1,0,8.487886613529026,0
39,54,5,1960.8249776750224,1,1,16.644657640963594,0
28,69,12,1802.6503645805844,1,0,12.101165557501481,0
70,50,12,2215.6267553136668,3,0,5.137189453186128,0
62,66,7,2741.1573428256643,0,2,26.07299977512211,0
54,1,12,1608.5522894049445,1,0,18.580473694539215,0
40,13,7,2948.9407407897806,3,1,14.28415942885706,0
64,45,3,5781.737677023924,1,0,11.649017163574534,0
49,39,7,3617.6916755361103,0,0,15.198713049741409,0
43,9,5,300.0,1,2,13.0939259781961,0
43,52,8,6086.896442504976,1,2,23.66890200723052,0
30,5,12,641.0361161414944,0,2,41.89475353727518,0
23,71,6,5677.282061636817,1,1,16.905680327525456,0
49,12,11,3330.987207940481,2,3,11.66060925017466,0
68,32,10,8240.64609961167,2,0,13.976628778712904,0
21,59,6,6534.183376112026,2,0,24.136843578305733,0
66,37,6,4684.347806300365,2,1,14.923855790685526,0
65,53,9,3428.66918484012,1,0,11.7402119148158,0
33,50,12,6168.88918592522,2,0,14.909652764977242,0
54,68,10,3755.9834612975255,3,0,23.46069641451057,0
27,33,3,4522.60165842997,0,2,4.170604315518625,0
61,70,9,3846.6494765424322,0,2,18.885195797971633,0
57,37,8,2277.609676651086,1,0,21.78000373009,0
38,64,8,4128.2901794347845,0,1,13.204563374997804,0
21,53,13,2074.422917834554,0,1,12.754501858906101,0
73,10,5,4862.457492819132,0,0,7.270975323851033,0
43,46,8,3497.6829271995343,0,0,10.363877705451145,0
68,63,6,2521.8718948911983,4,0,21.259619172299672,0
56,10,10,2273.3188366471713,1,0,10.17584586529162,0
62,60,11,6587.883030928617,1,0,7.33061722913096,0
61,8,6,1531.0623938520478,1,1,16.690696460682165,0
29,62,6,4070.7981280026074,1,0,9.819597412450062,0
38,57,10,1379.746276548247,3,1,15.118659627710894,0
44,11,2,4297.081273589828,2,0,10.94677289885787,0
46,52,10,2898.4923586914047,1,1,15.034087178878373,0
20,9,8,3655.5116744905517,0,0,18.633386076729654,0
49,41,7,2743.2703875462603,0,0,15.29086785667904,0
26,66,8,300.0,1,0,27.57838700263767,0
60,15,8,4132.258874729971,0,0,25.8101704153283,0
56,13,10,3994.838631684112,5,1,5.799215766088183,0
70,31,8,1571.5906933452122,0,1,11.377152715041532,0
60,27,8,3610.0090502139415,2,1,8.33071804031161,0
38,4,12,4013.7458949086467,0,0,30.9177537949366,0
73,33,7,4196.322327828393,2,0,13.16236719590988,0
41,19,16,3615.726706690654,1,1,11.102477044070936,0
36,9,9,2222.5993763362603,0,1,26.088549035283584,0
69,20,13,4927.514163557723,2,1,11.948472416825386,0
39,2,8,4099.5798078850785,0,1,36.61317952712908,0
22,65,9,300.0,0,0,21.157874002939177,0
44,71,5,2686.7100032871535,0,2,21.444778180886452,0
63,27,10,4674.310766417004,6,1,0.0,0
28,63,8,6571.79810622641,2,0,5.929685453793024,0
44,33,6,3873.819724598636,2,0,25.68243647866315,0
25,65,4,1190.0799424326092,1,0,13.355155942319604,0
57,13,9,478.1728933977488,2,1,15.481896220204264,1
45,21,13,3644.455072426422,0,0,17.610187032175755,0
36,53,7,3194.722443087244,2,0,16.875068653962533,0
30,16,5,4153.377741416018,2,1,19.75801420769332,0
50,59,8,1496.0648982252426,0,0,21.024138643126555,0
56,31,11,3909.619855315132,1,1,13.913492157450824,0
71,29,7,3336.8397532798513,1,1,8.88292127119194,0
42,33,9,1807.5886817387402,0,0,19.559311024845783,0
27,57,7,6357.989680889793,3,0,13.087689629113326,0
